timestamp,region,temperature_C,energy_usage_kWh,humidity,weather_condition
01/01/2024 00:00,London,-4.01,524.06,68.4,Rainy
01/01/2024 01:00,London,-3.81,528.53,31.5,Sunny
01/01/2024 02:00,London,-3.08,536.06,46.5,Rainy
01/01/2024 03:00,London,-3.56,567.08,43.4,Rainy
01/01/2024 04:00,London,-2.56,545.5,74.2,Windy
01/01/2024 05:00,London,-2.38,571.62,70.6,Windy
01/01/2024 06:00,London,-2.06,596.67,83.5,Rainy
01/01/2024 07:00,London,-3.32,591.54,35.2,Sunny
01/01/2024 08:00,London,-3.62,600.46,55.3,Sunny
01/01/2024 09:00,London,-3.58,572.64,31.8,Windy
01/01/2024 10:00,London,-2.97,534.31,43.1,Cloudy
01/01/2024 11:00,London,-1.88,529.62,60.3,Windy
01/01/2024 12:00,London,-4.48,470.59,31.6,Windy
01/01/2024 13:00,London,-3.65,542.08,41.9,Windy
01/01/2024 14:00,London,-1.52,487.45,69,Sunny
01/01/2024 15:00,London,-3.15,481.58,62.7,Windy
01/01/2024 16:00,London,-4.11,463.51,43.2,Sunny
01/01/2024 17:00,London,-1.8,487.29,65.4,Sunny
01/01/2024 18:00,London,-2.51,448.71,78.6,Sunny
01/01/2024 19:00,London,-2.68,431.13,30.4,Sunny
01/01/2024 20:00,London,-1.94,487.66,78.3,Cloudy
01/01/2024 21:00,London,-4.12,523.21,71.9,Snowy
01/01/2024 22:00,London,-4.57,512.43,50.4,Cloudy
01/01/2024 23:00,London,-2.22,489.77,39.3,Windy
02/01/2024 00:00,London,-2.78,498.03,87.4,Foggy
02/01/2024 01:00,London,-5.59,523.15,50.2,Sunny
02/01/2024 02:00,London,-3.36,570.19,35.6,Sunny
02/01/2024 03:00,London,-2.67,570.17,35.8,Foggy
02/01/2024 04:00,London,-3.76,566.13,80.8,Sunny
02/01/2024 05:00,London,-3.67,557.53,66.2,Windy
02/01/2024 06:00,London,-3.33,585.33,78.4,Windy
02/01/2024 07:00,London,-3.31,575.56,73.8,Sunny
02/01/2024 08:00,London,-2.05,566.72,62.2,Snowy
02/01/2024 09:00,London,-4.07,579.57,88.4,Foggy
02/01/2024 10:00,London,-2.48,563.88,52.7,Cloudy
02/01/2024 11:00,London,-2.12,553.64,63.1,Windy
02/01/2024 12:00,London,-2.71,578.59,79.8,Rainy
02/01/2024 13:00,London,-4.03,505.3,67.1,Windy
02/01/2024 14:00,London,-1.77,507.08,81.7,Windy
02/01/2024 15:00,London,-1.98,496.63,64.6,Cloudy
02/01/2024 16:00,London,-1.37,464.65,72.3,Rainy
02/01/2024 17:00,London,-1.4,502.92,32.7,Sunny
02/01/2024 18:00,London,-3.95,490.3,43.7,Cloudy
02/01/2024 19:00,London,-2.78,467.37,47.4,Windy
02/01/2024 20:00,London,-4.63,464.58,34.8,Sunny
02/01/2024 21:00,London,-2.03,509.51,44,Snowy
02/01/2024 22:00,London,-2.95,520.57,36.1,Foggy
02/01/2024 23:00,London,-1.8,520.12,46.7,Sunny
03/01/2024 00:00,London,-3.42,542.11,68.1,Snowy
03/01/2024 01:00,London,-2.21,560.57,51.9,Foggy
03/01/2024 02:00,London,-1.84,532.71,52.2,Snowy
03/01/2024 03:00,London,-3.21,533.02,42.6,Sunny
03/01/2024 04:00,London,-1.95,575.23,46,Windy
03/01/2024 05:00,London,-2.27,555.29,86.2,Snowy
03/01/2024 06:00,London,-1.3,562.73,68.9,Cloudy
03/01/2024 07:00,London,-1.93,587.16,66.5,Windy
03/01/2024 08:00,London,-2.89,574.07,40.3,Snowy
03/01/2024 09:00,London,-3.34,596.9,73.7,Sunny
03/01/2024 10:00,London,-2.69,534.57,39.8,Cloudy
03/01/2024 11:00,London,-3.08,549.66,52.8,Rainy
03/01/2024 12:00,London,-1.8,521.2,89.4,Rainy
03/01/2024 13:00,London,-3.24,519.95,68.4,Sunny
03/01/2024 14:00,London,-1.83,479.25,63.4,Foggy
03/01/2024 15:00,London,-2.2,486.3,71.1,Rainy
03/01/2024 16:00,London,-3.03,527.14,80.6,Windy
03/01/2024 17:00,London,-2.9,496.87,76.6,Foggy
03/01/2024 18:00,London,-1.98,456.36,43.7,Windy
03/01/2024 19:00,London,-4.55,498.2,31.9,Foggy
03/01/2024 20:00,London,-3.78,453.82,48.9,Cloudy
03/01/2024 21:00,London,-1.67,475.19,46.1,Foggy
03/01/2024 22:00,London,-3.47,546.11,42.7,Sunny
03/01/2024 23:00,London,-4.36,494.36,86.6,Cloudy
04/01/2024 00:00,London,-3.12,531,82.6,Rainy
04/01/2024 01:00,London,-3.55,526.5,48.9,Rainy
04/01/2024 02:00,London,-1.15,567.85,69.3,Snowy
04/01/2024 03:00,London,-2.07,570.94,53.7,Foggy
04/01/2024 04:00,London,-2.37,600.86,84.9,Windy
04/01/2024 05:00,London,-3.65,592.85,57.5,Rainy
04/01/2024 06:00,London,-1.96,620.28,45.9,Foggy
04/01/2024 07:00,London,-0.71,588.95,44.8,Cloudy
04/01/2024 08:00,London,-1.52,528.8,63.7,Windy
04/01/2024 09:00,London,-1.11,559.17,45.8,Foggy
04/01/2024 10:00,London,-2.9,571.41,65.1,Snowy
04/01/2024 11:00,London,-2.81,553.6,83.9,Rainy
04/01/2024 12:00,London,-1.07,528.12,54,Cloudy
04/01/2024 13:00,London,-3.74,558.2,43.2,Cloudy
